CRD,name,owner type,title,date aquired,ownership code,control,public reporting,owner crd
1137,"PRINCIPAL FINANCIAL SERVICES, INC.",DE,OWNER,10/2001,E,Y,N,
1137,"STRABLE-SOETHOUT, DEANNA DAWNETTE",I,DIRECTOR,04/2015,NA,Y,N,6467090
1137,"MURRAY, MICHAEL FRANCIS",I,PRESIDENT/CHIEF EXECUTIVE OFFICER/CHAIR,07/2018,NA,Y,N,2074275
1137,"FRIEDRICH, AMY CHRISTINE",I,DIRECTOR,05/2019,NA,Y,N,7097797
1137,"RANTS, DOUGLAS JOHN",I,CHIEF INFORMATION SECURITY OFFICER,12/2019,NA,Y,N,7148529
1137,"SPADAFORA, CRAIG ALAN",I,SENIOR VICE PRESIDENT / HEAD OF ADVISORY AND PLATFORM,12/2019,NA,Y,N,3184320
1137,"CLAIRE, CHAD THOMAS",I,CHIEF INFORMATION OFFICER,12/2019,NA,Y,N,7219218
1137,"RIGLER, DAVID ANDREW",I,CHIEF FINANCIAL OFFICER,07/2020,NA,Y,N,5724812
1137,"BEITZEL, CARLA KAY",I,VICE PRESIDENT OF DISTRIBUTION,07/2020,NA,Y,N,1337908
1137,"VANWINKLE, DANIEL SIMON",I,PSI AML OFFICER,03/2021,NA,Y,N,4715191
1137,"BELTRAN, JESUS MANUEL",I,CHIEF SUPERVISION OFFICER,04/2021,NA,Y,N,4642364
1137,"MCCULLUM, KENNETH ALLEN",I,DIRECTOR,05/2021,NA,Y,N,4695257
1137,"COOPER, BROCK JEFFREY",I,CHIEF COMPLIANCE OFFICER,09/2023,NA,Y,N,4082970
1175,"SAVILLE, WILSON GORDON II",I,"PRESIDENT,SECRETARY,CHIEF COMPLIANCE OFFICER, & CHIEF FINANCIAL OFFICER",07/2011,E,Y,N,1406756
1248,"ROSEN, ROBERT STEPHEN",I,"PRESIDENT, DIRECTOR, CEO",06/1969,D,Y,N,404271
1248,"SCHLESINGER, ISAAC",I,"VP, SECRETARY, DIRECTOR, CFO, COO, CCO",03/1969,C,Y,N,413636
1248,"MURPHY, THOMAS JAMES",I,VP,11/1989,NA,N,N,839873
1249,"BLACK, GERALD LEROY",I,PRESIDENT AND DIRECTOR,11/2006,C,Y,N,811414
1249,"LYONS, DORIS BLACK",I,TREASURER,02/2008,B,N,N,
1249,"BLACK, JAMES ISSAC III",I,OWNER,02/2008,B,N,N,
1249,"CHARLES, REBECCA B",I,OWNER,02/2008,B,N,N,
1249,"STEADMAN, NATASHA LYNN",I,CHIEF COMPLIANCE OFFICER,01/2011,NA,Y,N,5161387
1249,"DEAN, JEFFREY MILLER",I,DIRECTOR,06/2011,NA,Y,N,
1249,"BLACK, KATHARINE ANN",I,OWNER,08/2014,A,N,N,6400616
1249,"BLACK, STEPHANIE MARIE",I,OWNER,08/2014,A,N,N,6395469
1249,"BLACK, JENNIFER LEIGH",I,OWNER,08/2014,A,N,N,6400578
1252,"WBC HOLDINGS, L.P.",DE,HOLDING COMPANY,11/2008,E,Y,N,
1252,"GLEDHILL, BRENT WALKER",I,"PRESIDENT, CEO",03/2009,NA,Y,N,2921069
1252,"DEVORE, RYAN JACOB",I,EXECUTIVE COMMITTEE,11/2017,NA,Y,N,3049671
1252,"BRAMING, STEPHANIE GRIESER",I,EXECUTIVE COMMITTEE,11/2017,NA,Y,N,4852455
1252,"RASAVONGXAY, WILLSON B",I,CHIEF COMPLIANCE OFFICER,12/2019,NA,Y,N,6593731
1252,"CITARDI, CISSIE",I,"EXECUTIVE COMMITTEE, GENERAL COUNSEL",01/2021,NA,Y,N,6642613
1252,"ZIMMER, MATTHEW MONTGOMERY",I,EXECUTIVE COMMITTEE,01/2022,NA,Y,N,4157826
1252,"DALRYMPLE, PETER PLENK",I,EXECUTIVE COMMITTEE,01/2022,NA,Y,N,5393343
1252,"SATTERFIELD, BETH A",I,EXECUTIVE COMMITTEE,01/2023,NA,Y,N,6011858
1252,"SHARMA, ANURAG DR.",I,EXECUTIVE COMMITTEE,01/2023,NA,Y,N,4821676
1252,"TRIMBERGER, MICHAEL WILLIAM",I,CFO,07/2023,NA,Y,N,5329834
1254,"WINTERBOURNE, JEANI THERESA",I,CHIEF OPERATING OFFICER,08/2010,NA,Y,N,1075564
1254,"STEWARD PARTNERS HOLDINGS, LLC",DE,OWNER,04/2021,E,Y,N,
1254,"MARTINEZ, ROBERTO ANTONIO",I,AML OFFICER,07/2022,NA,N,N,2991605
1254,"SAPORTA, HY JAMIE",I,CEO,10/2022,NA,Y,N,2672279
1254,"FABER, JOSEPH S",I,CHIEF FINANCIAL OFFICER,10/2022,NA,Y,N,4834049
1254,"RUHLIN, PETER ERIC",I,CHIEF LEGAL OFFICER,10/2022,NA,Y,N,5521744
1254,"GULDNER, ROBERT JOHN",I,CHIEF COMPLIANCE OFFICER,07/2023,NA,Y,N,2283980
1329,"SMITH, RAYMOND HILL JR",I,PRESIDENT & CHIEF EXECUTIVE OFFICER,07/1992,E,Y,N,731506
1329,"SMITH, RAYMOND HILL JR",I,CHIEF COMPLIANCE OFFICER,10/2004,E,Y,N,731506
1329,"BARFIELD, THOMAS EARL JR",I,SENIOR VICE PRESIDENT,09/2013,NA,N,N,4518997
1329,"SMITH, RAYMOND HILL JR",I,FINANCIAL AND OPERATIONS PRINCIPAL AND MUNICIPAL SECURITIES PRINCIPAL,01/2011,E,Y,N,731506
1329,"EDWARDS, HOLLI COX",I,CHIEF FINANCIAL OFFICER,12/2012,NA,N,N,5967474
1329,"SMITH, RAYMOND HILL JR",I,GENERAL SECURITIES PRINCIPAL,10/1986,E,Y,N,731506
1329,"EDWARDS, HOLLI COX",I,FINANCIAL AND OPERATIONS PRINCIPAL,12/2012,NA,N,N,5967474
1329,"GAITHER, THOMAS DEWITT JR.",I,GENERAL SECURITIES PRINCIPAL,10/2017,NA,N,N,6007486
1331,"IZZI, DAVID ANTHONY",I,PRESIDENT; SECRETARY; TREASURER; CHIEF COMPLIANCE OFFICER,01/1997,B,Y,N,2027961
1331,"MARGINSON, JOHN ARTHUR",I,VICE PRESIDENT,01/1997,B,Y,N,860727
1331,"MURPHY, LOUIS GEORGE JR",I,VICE PRESIDENT,01/2001,B,Y,N,1162141
1331,"LISLE, SCOTT SAWYER",I,VICE PRESIDENT,01/2008,B,Y,N,2220388
1331,"MCGINN, JOSEPH HUGH JR",I,VICE PRESIDENT,01/2011,B,Y,N,2354164
1331,"TRACY, CLIFFORD BURRELL JR",I,VICE PRESIDENT,01/2022,B,Y,N,1213468
1378,"MAGOMEDOV, RAMZAN",I,PRESIDENT / CHIEF COMPLIANCE OFFICER,11/2008,E,Y,N,3075727
1459,"BOSWAY, MICHAEL EDWARD",I,PRESIDENT/CEO,01/1998,NA,Y,N,1058290
1459,"DIGAETANO, RAYMOND ANTHONY",I,EVP/PRIVATE CLIENT SERVICES,01/2013,NA,Y,N,1319252
1459,"ARMSTRONG, ANDY JOHN",I,SRVP/CCO,04/2016,NA,Y,N,4448534
1459,"CITY SECURITIES, LLC",DE,HOLDING COMPANY,01/2017,E,Y,N,
1464,"CRAVILLION, BETH ANN",I,DIRECTOR OF SUPPORT SERVICES,12/2004,NA,N,N,4770231
1464,"KUIPERS, MICHAEL DAVID",I,"DIRECTOR, PRESIDENT & CEO",07/2015,NA,Y,N,2436388
1464,"PECORA, ANTHONY PHILIP",I,CHIEF COMPLIANCE OFFICER,10/2015,NA,N,N,2975013
1464,"STEIN, DAVID LEWIS",I,"DIRECTOR, BOARD OF DIRECTORS",01/2011,NA,Y,N,6060045
1464,"ASSOCIATED TRUST COMPANY, N.A.",DE,SOLE SHAREHOLDER,05/2016,E,Y,N,
1464,"THAYER, JOHN PARKER",I,"CHAIRMAN, BOARD OF DIRECTORS",07/2021,NA,Y,N,1603202
1464,"HOCHHOLZER, MICHAEL ROBERT",I,"DIRECTOR, BOARD OF DIRECTORS",07/2021,NA,Y,N,2878493
1464,"DELOYE, DENNIS MICHAEL",I,"DIRECTOR, BOARD OF DIRECTORS",05/2022,NA,Y,N,7555524
1464,"KELLER, JACOB JEFFERY",I,"PRINCIPAL, FINANCIAL REPORTING",05/2023,NA,N,N,6943282
1464,"ARNOLD, ANDREW JAMES",I,"DIRECTOR, TREASURER",05/2023,NA,Y,N,7744204
1489,"RAABE, BRUCE JON",I,"CHIEF COMPLIANCE OFFICER, CEO, CFO & MANAGING MEMBER",12/2004,E,Y,N,2268947
1582,"NEELEY, STEPHEN F",I,PRESIDENT; CCO; S-CORP SHAREHOLDER,07/2004,NA,Y,N,3235100
1582,"NEELEY, DANIEL JOSEPH",I,"VICE PRESIDENT, S-CORP SHAREHOLDER",05/2018,C,Y,N,5556337
1582,"NEELEY, AARON JAMES",I,"VICE PRESIDENT, S-CORP SHAREHOLDER",05/2018,C,Y,N,6001558
1588,"DAVENPORT & CO. OF VIRGINIA, INC",DE,MEMBER,03/1997,D,Y,N,
1588,DAVENPORT CORP.,DE,MEMBER,03/1997,C,Y,N,
1588,DAVA CORP.,DE,MEMBER,03/2001,C,Y,N,
1588,"BEALL, MICHAEL SUNDERLAND",I,"EXECUTIVE VP, DIRECTOR",01/1996,NA,N,N,707266
1588,"BROWN, EDWARD TRIGG JR",I,"EVP, DIRECTOR",12/1990,NA,Y,N,850295
1588,"HOOPER, LUCY WILLIAMS",I,"EXECUTIVE VP, DIRECTOR",03/2002,NA,Y,N,733228
1588,"MIZELL, ROBERT FRANCIS",I,"EVP, DIRECTOR",12/1990,NA,Y,N,1836694
1588,"RICHMOND, ANN MINORNUCKOLS",I,"SVP, MANAGING DIRECTOR, TREASURER, AND PRINCIPAL OPERATIONS OFFICER",01/1996,NA,N,N,2144754
1588,"ROSE, DAVID PETER",I,"SVP, DIRECTOR",03/2001,NA,N,N,1288846
1588,"VALENTINE, HENRY LEE III",I,"SVP, DIRECTOR",12/1992,NA,N,N,1137054
1588,"WORTHAM, COLEMAN III",I,"CHAIRMAN, DIRECTOR",03/2013,NA,Y,N,472921
1588,"ACKERLY, JOHN PAUL IV",I,"SVP, DIRECTOR",03/2004,NA,Y,N,2460550
1588,"BARKSDALE, WILLIAM RANDOLPH IV",I,MANAGING DIRECTOR,03/2004,NA,N,N,720050
1588,"DOLAN, RICHARD EDWARD III",I,MANAGING DIRECTOR,03/2004,NA,N,N,2348347
1588,"LAVAY, MAURA JANE",I,"SVP, MANAGING DIRECTOR",03/2004,NA,N,N,1255728
1588,"TAYLOR, TIMOTHY STEWART",I,MANAGING DIRECTOR,03/2006,NA,N,N,1492229
1588,"KANE, MICHAEL JOSEPH DAVID",I,MANAGING DIRECTOR,03/2006,NA,N, ,704604
1588,"ROGERS, COURTNEY EDWARD",I,"SVP, DIRECTOR",03/2006,NA,N,N,2237168
1588,"CRAWLEY, JAMES EDWARD",I,MANAGING DIRECTOR,03/2006,NA,N,N,1776949
1588,"ALLBURN, SEAN JAMES",I,MANAGING DIRECTOR,03/2007,NA,N,N,2605269
1588,"ANDERSON, DAVID CHARLES",I,DIRECTOR,03/2007,NA,N,N,2312279
1588,"GREGORY, KENNETH STUART",I,"SVP, MANAGING DIRECTOR",03/2007,NA,N,N,1160002
1588,"VALENTINE, EUGENE MASSIE JR",I,MANAGING DIRECTOR,03/2007,NA,N,N,1072110
1588,"TERZIMEHIC, EDIN NMN",I,"VP, ROSFP",12/2008,NA,N,N,4634023
1588,"PAUCKE, JOSEPH WALTER",I,"SVP, DIRECTOR",03/2010,NA,N,N,1208500
1588,"BOLL, KEVIN GEORGE JR",I,"SVP, DIRECTOR",03/2010,NA,N, ,2881689
1588,"SMITH, GEORGE LEVIN",I,"SVP, DIRECTOR",03/2010,NA,N,N,2988110
1588,"CHAPMAN, IRVING LEE IV",I,"PRESIDENT, CEO, DIRECTOR",03/2013,NA,Y,N,2489697
1588,"HERSHEY, WILLIAM ROBERTSON BEVERLEY",I,"SVP, DIRECTOR, CFO, FINOP AND PRINCIPAL FINANCIAL OFFICER",03/2011,NA,Y,N,2909345
1588,"COLE, EDWARD FISCUS III",I,"SVP, DIRECTOR",03/2011,NA,N,N,4146443
1588,"GEHO, HARRISON MONCURE",I,MANAGING DIRECTOR,03/2013,NA,N,N,2361637
1588,"BALLOWE, HYLAH BOYD",I,MANAGING DIRECTOR,03/2014,NA,N,N,2533434
1588,"GALLIHUGH, MAUREEN ANN",I,MANAGING DIRECTOR,03/2014,NA,N,N,1125521
1588,"RAY, JOEL MASON",I,SVP DIRECTOR,03/2014,NA,N,N,1483620
1588,"WATSON, BRADLEY LAWRENCE",I,SVP DIRECTOR,03/2014,NA,N,N,2415210
1588,"MANDERSKI, THERESA J",I,"CHIEF COMPLIANCE OFFICER - BD, SVP, AML COMPLIANCE OFFICER",09/2021,NA,N,N,2928010
1588,"GANSMAN, JOHN ROBERT",I,MANAGING DIRECTOR,03/2016,NA,N,N,2382152
1588,"HAMILTON, HARRY WAYNE III",I,MANAGING DIRECTOR,03/2016,NA,N,N,1345514
1588,"PRILLAMAN, GRAYSON BISHOP",I,MANAGING DIRECTOR,03/2016,NA,N,N,2707727
1588,"SANDERSON, JAMES EDWARD",I,"SVP, DIRECTOR",03/2017,NA,N,N,4886781
1588,"DAVENPORT IV, INC",DE,MEMBER,05/2016,NA,N,N,
1588,"WAGNER, ARIC NORMAN",I,MANAGING DIRECTOR,03/2017,NA,N,N,2267313
1588,"JARRETT, VIRGINIA BARTON",I,MANAGING DIRECTOR,03/2018,NA,N,N,1302171
1588,"PRICE, THOMAS WINSTON",I,MANAGING DIRECTOR,03/2018,NA,N,N,2895319
1588,"SULANKE, GEOFFREY ADAM",I,MANAGING DIRECTOR,03/2018,NA,N,N,4808910
1588,"BRIGULIO, JR., BRIAN MITCHELL",I,"SVP, DIRECTOR",03/2019,NA,N,N,4970410
1588,"LAUX, KYLE A",I,"SVP, DIRECTOR",03/2019,NA,N,N,4550086
1588,"MASON, JOSEPH D",I,"SVP, DIRECTOR",03/2019,NA,N,N,5111792
1588,"SEVERT, TAMMY RENE",I,"SVP, DIRECTOR",03/2019,NA,N,N,3020053
1588,"KOOCH, ROLAND MARION JR",I,DIRECTOR,03/2020,NA,N,N,2382419
1588,"MCELHANEY, JON TAYLOR",I,DIRECTOR,03/2020,NA,Y,N,2883725
1588,"MCDONALD, THOMAS RAMEY",I,DIRECTOR,03/2020,NA,N,N,5571688
1588,"OMOHUNDRO, JEFFREY FLOYD",I,DIRECTOR,03/2020,NA,N,N,2155707
1588,"OWEN, RICHARD GAILLARD",I,DIRECTOR,03/2020,NA,N,N,1197506
1588,"PEARSON, CHRISTOPHER GLENN",I,DIRECTOR,03/2020,NA,N,N,4979730
1588,"WELLFORD JR, TEN EYCK THOMPSON",I,DIRECTOR,03/2020,NA,N,N,4985143
1588,"TRICE, FRANKLIN ALEXANDER",I,DIRECTOR,03/2020,NA,N,N,2219809
1588,"CROCKETT, HOLLY RAY",I,"SVP, DIRECTOR",03/2021,NA,N,N,1682414
1588,"CASON, SHANE M",I,DIRECTOR,03/2022,NA,N,N,4500533
1588,"DUNWODY, DAVID GOATER",I,DIRECTOR,03/2022,NA,N,N,6064452
1588,"CROWDER, ALISON SANDERS",I,"CHIEF COMPLIANCE OFFICER - IA, VP",06/2022,NA,N,N,6658906
1588,"FRAM, FREDERICK GORDON",I,CHIEF ADMINISTRATIVE OFFICER,03/2021,NA,N,N,1701062
1588,"DAVIS, WILLIAM ISAAC",I,DIRECTOR,03/2023,NA,N,N,4665777
1588,"FRAM, FREDERICK GORDON",I,DIRECTOR,03/2023,NA,N,N,1701062
1588,"KEHLENBECK, VIRGINIA WORTHAM",I,DIRECTOR,03/2023,NA,N,N,4555885
1588,"PISCITELLI, JOHN ANTHONY",I,DIRECTOR,03/2023,NA,N,N,1359023
1588,"YOUNG, ARMISTEAD C IV",I,DIRECTOR,03/2023,NA,N,N,2444107
1628,"TESTWUIDE, JAMES ANTHONY",I,"CEO, PRES, & TREASURER, CCO, & SHAREHOLDER",04/2003,E,Y,N,1248919
1628,"TESTWUIDE, KONRAD CULLEN",I,CHAIRMAN,01/1998,NA,Y,N,444456
1628,"KUEHL, ROBERT JOSEPH",I,VICE-PRESIDENT,04/2003,NA,N,N,2221683
1628,"TESTWUIDE, MARLO JEAN",I,CHIEF OPERATIONS OFFICER AND VICE PRESIDENT OF OPERATIONS,02/2019,NA,Y,N,6403174
1668,"THOMPSON, RAYMOND ANDREW",I,PRESIDENT / CEO / CCO,08/2019,NA,Y,N,737094
1668,"HOLLINGSWORTH, GREGORY MICHAEL",I,SENIOR VICE PRESIDENT,10/2001,NA,Y,N,702767
1668,"RUEB, STEVEN FREDERICK",I,VICE PRESIDENT,05/1995,NA,Y,N,1906030
1668,"CLEMENTS, DONALD THOMAS",I,TREASURER,01/1994,NA,Y,N,1479234
1668,"SUCCESSION OF PHILIP J DORSEY, MARY D DORSEY INDEPENDENT EXECUTRIX",DE,OWNER,08/2019,E,Y,N,
1697,"DRAGOO, MICHELLE MARIE",I,"VICE PRESIDENT, SECRETARY, TREASURER",06/1996,NA,Y,N,1637435
1697,"GRIMES, III, ALLEN EVANS MR.",I,"PRESIDENT, CHIEF COMPLIANCE OFFICER, FINANCIAL PRINCIPAL, SHAREHOLDER, DIRECTOR",12/2005,NA,Y,N,4890647
1697,"BRADLEY, HARRIET DUPREE",I,SHAREHOLDER/DIRECTOR,04/2014,C,Y,N,6326822
1697,"GRIMES, LAMAR DUPREE",I,SHAREHOLDER/DIRECTOR,04/2014,C,Y,N,1741495
1697,"HARRISON, VINCENT HENRY",I,VICE PRESIDENT,10/2015,NA,Y,N,2469232
1697,BANK OF THE BLUEGRASS SUCC TR FOR CLARA G DUPREE TR UA FBO HARRIET DUPREE BRADLEY,DE,SHAREHOLDER,05/2018,A,N,N,
1697,BANK OF THE BLUEGRASS SUCC TR FOR CLARA G DUPREE TR UA FBO LAMAR DUPREE GRIMES,DE,SHAREHOLDER,05/2018,A,N,N,
1697,BANK OF THE BLUEGRASS SUCC TR FOR CLARA G DUPREE TR UA FBO DAVID G. DUPREE,DE,SHAREHOLDER,05/2018,C,Y,N,
1697,BANK OF THE BLUEGRASS & TRUST COMPANY,DE,TRUSTEE,05/2018,NA,Y,N,
1697,"COMBS, HUSTON BARROW",I,VICE PRESIDENT,12/2018,NA,Y,N,2918837
1763,"JEAN, CLINELLE ARMINTA",I,PRINCIPAL TRADER,08/2011,NA,N,N,2865111
1763,"POER, JAMES LYNN",I,OFFICER,12/2017,NA,N,N,1983357
1763,"VANDERHEYDEN, JOHN PATRICK",I,OFFICER,12/2017,NA,N,N,2235802
1763,"NORWOOD, ROBERT BREDT",I,OFFICER,12/2017,NA,N,N,2536685
1763,KESTRA FINANCIAL INC.,DE,100 % SHAREHOLDER,12/2017,E,Y,N,
1763,"BARRY, MICHELLE ANNE",I,PRESIDENT,01/2018,NA,Y,N,2744539
1763,"ALBINO, JASON R",I,EXECUTIVE VICE PRESIDENT & CHIEF COMPLIANCE OFFICER,02/2018,NA,Y,N,2891263
1763,"ROBERTS, CHRISTOPHER RYAN",I,SENIOR VICE PRESIDENT & SALES SUPPORT,05/2018,NA,N,N,4199623
1763,"BENNETT, JOEL VAN",I,ASSISTANT VICE PRESIDENT,07/2018,NA,N,N,2047878
1763,"YIN, YIN",I,ASSISTANT SECRETARY,07/2018,NA,N,N,3219513
1763,"SHANK, BILLY WAYNE JR",I,"VICE PRESIDENT, INVESTMENT ADVISORY",03/2018,NA,N,N,4829362
1763,"WORSHAM, SANDRA RENEE",I,"VICE PRESIDENT, BROKER DEALER COMPLIANCE",09/2019,NA,N,N,2444134
1763,"COSTELLO, ROBERT",I,CHIEF OPERATION OFFICER,01/2020,NA,Y,N,1349716
1763,"ENGLE, ROBERT JAMES",I,EXECUTIVE VICE PRESIDENT,09/2020,NA,N,N,2543541
1834,UNIVEST BANK AND TRUST CO.,DE,HOLDING COMPANY,01/1999,E,Y,N,
1834,"JOHNSON, DARREN GLEN",I,VICE PRESIDENT/FINANCIAL OFFICER,04/2001,NA,Y,N,4102844
1834,"TEJKL, KAREN ELIZABETH",I,SENIOR VICE PRESIDENT/REGULATORY RISK OFFICER,04/2001,NA,Y,N,4226710
1834,"HELLINGS, THOMAS EDWIN",I,VICE PRESIDENT/CCO/CHIEF OPERATIONS OFFICER,09/2014,NA,Y,N,2128581
1834,"VANSANT, WILLIAM FRANCIS III",I,SENIOR VICE PRESIDENT/SALES MANAGER,01/2005,NA,Y,N,4511525
1834,"NORRIS, KEVIN BRIAN",I,PRESIDENT,07/2014,NA,Y, ,2498441
1844,"FORESTERS FINANCIAL HOLDING COMPANY, INC.",DE,HOLDING COMPANY,02/1968,E,Y,N,
1844,"MILGRAM, MARC, STEVEN",I,CHIEF COMPLIANCE OFFICER,11/2010,NA,Y,N,5332706
1844,"GANNON, FRANCIS, XAVIER",I,CHIEF FINANCIAL OFFICER,04/2013,NA,Y,N,6181654
1844,"WAGNER, CLARK, DAVID",I,CHIEF INVESTMENT OFFICER,02/2018,NA,Y,N,2169225
1844,"Moore, E Blake",I,CHAIRMAN,02/2018,NA,Y,N,2406234
1844,"Moore, E Blake",I,PRESIDENT,02/2018,NA,Y,N,2406234
1844,"Moore, E Blake",I,DIRECTOR,02/2018,NA,Y,N,2406234
1845,"GOTTESMAN, ROBERT WILLIAM",I,EXECUTIVE CHAIRMAN,01/2006,C,Y,N,825179
1845,FIRST MANHATTAN LLC,DE,GENERAL PARTNER,07/2002,B,Y,N,
1845,"GROVEMAN, BERNARD CHARLES",I,LIMITED PARTNER,01/2003,B,Y,N,1185182
1845,"GREEN, TODD WILLIAM",I,LIMITED PARTNER,01/2016,A,Y,N,1040777
1845,"WYDRA, ZACHARY A",I,CHIEF EXECUTIVE OFFICER,09/2016,A,Y,N,2937857
1845,"PINTO, ALVARO SPINOLA",I,CHIEF FINANCIAL OFFICER,05/2017,NA,Y,N,6367887
1845,"ASPEN, ANDREW JOSEPH",I,CHIEF LEGAL OFFICER,05/2020,NA,Y,N,5282749
1845,"KENNEDY, THOMAS GORDON",I,CHIEF COMPLIANCE OFFICER (FOR PURPOSES OF THE INVESTMENT ADVISERS ACT RULE 206(4)-7(C) AND FINRA RULE 3130),11/2020,NA,N,N,2760150
1845,"SAMMARCO, JOSEPH ANTHONY",I,CO-DIRECTOR OF OPERATIONS; HEAD OF SUPERVISION,03/2022,NA,N,N,2982052
1845,"TAMBARO, ARTHUR MICHAEL JR.",I,CO-DIRECTOR OF OPERATIONS,03/2022,NA,N,N,2672756
1845,"COLIN, SAMUEL FLUG",I,LIMITED PARTNER,01/2020,A,Y,N,2590468
1845,"FREEDBERG, ANDREW MICHAEL",I,LIMITED PARTNER,01/2020,A,Y,N,4245843
1845,"MUCCIA, TIMOTHY CARROL",I,LIMITED PARTNER,01/2021,A,Y,N,2184973
1845,"VARON, JACK HARRY",I,LIMITED PARTNER,01/2020,A,Y,N,1230320
